region,where_you_work,current_work_area,salaried_hourly,feel_like_owner,owner_feel_job_impact,what_else_feels_like_owner,increase_sense_of_ownership,owner_sense_job_impact,psp_most_important_part,psp_most_confusing_part
Please enter only a number from 1 through 8 as shown in the list below to indicate your region.1=Central Texas2=Border3=Gulf Coast4=Dallas/Fort Worth/Metroplex5=Houston & East TX6=North Texas7=San Antonio 8=West TX,Please enter only a number from 1 through 5 as shown in the list below to indicate where you work.1=Central Market2=Favor3=H-E-B/H-E-B Plus!4=Joe V’s Smart Shop 5=Mi Tienda, Please enter only a number from 1 through 6 as shown in the list below to indicate your current work area.1=Stores2=Manufacturing3=Warehouse4=Transportation5=Corporate Admin - Non-Digital 6=Corporate Admin - Digital,Please enter 'H' or 'S' (without the quotes) to indicate if you are houry or salaried.,"As a participant in the PSP, do you feel like an owner of H-E-B?",How does feeling like an owner impact your job performance?,"So, What else makes you feel like an owner (aside from the compensation and PSP you receive)?","So, what can H-E-B do to increase your sense of ownership?","So, how would feeling a sense of ownership impact how you do your job?",Thank you for that info. Just two more questions.What part of your PSP statement do you consider most important and why?(Below is an example of the annual Partner Stock Plan Statement.  You may click on the image for a larger view)<a href='https://revealai-interview-assets.s3.us-east-2.amazonaws.com/H-E-B/22_PARTNER_2021_HEB_PSP_allocation_ENG_FINAL.png' target='_blank'><img src='https://revealai-interview-assets.s3.us-east-2.amazonaws.com/H-E-B/22_PARTNER_2021_HEB_PSP_allocation_ENG_FINAL.png' alt='H-E-B PSP' style='width: 80%;'/></a>,"Sorry about that. This is my last question.Do you find anything confusing on the statement. If so, what part and why?(Below is an example of the annual Partner Stock Plan Statement.  You may click on the image for a larger view)<a href='https://revealai-interview-assets.s3.us-east-2.amazonaws.com/H-E-B/22_PARTNER_2021_HEB_PSP_allocation_ENG_FINAL.png' target='_blank'><img src='https://revealai-interview-assets.s3.us-east-2.amazonaws.com/H-E-B/22_PARTNER_2021_HEB_PSP_allocation_ENG_FINAL.png' alt='H-E-B PSP' style='width: 80%;'/></a>"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,,,,,,,,,,
7,3,1,H,Yes,Knowing that I’m invested into H-E-B’s success makes me more passionate about sharing and celebrating our big wins with all of the other partners I work with.,"The responsibility given to me outside of my role as a service lead. For example, being able to work store coverage shifts.",,,Allocation because it is the primary metric for determining how the company performed overall for the year.,I found nothing on the statement confusing.
,,,,,,,,,,
7,3,5,S,,,,,,,
7,3,5,s,yes,"scrutinize work I do to understand value add, scrutinize meetings to make sure they are value add with clear Agenda and action items, scrutinize expenses","na POV surveys, OB Taste tests",,,"Its all important to me.  The Net ROI is important to me in understanding how the stock valuation changed, while the Allocation is important in understanding how much additional HEB allocated to the plan.","No, nothing confusing."
7,3,1,H,Yes,It makes me want to be the best I can,,,,,
Houston,3,1,h,y,,,,,,
,,,,,,,,,,
7,3,6,S,Yes,Makes me go deeper when solving problems,Na Understanding the systems which I support and how they are used by the business,,,Net return on investment,Nothing is confusing
7,3,1,H,Yes,"Greatly, since having a part in HEB increases my performance",The way we’re called partners & not employees makes me feel proud to be a part of this company.,,,Give customers support. Be the partner that interact with the Customer and find the best way to resolve their needs.,
7,3,6,s,Yes,Makes you proud and invested,Being involved and feeling like you matter,,,No,no
4,3,5,s,Yes,One cares more about everything about our company,An alignment of purpose. How we feel about our customer and our fellow partners,,,I don't have a specific opinion,No I think it very clear and concise.
,,,,,,,,,,
7,3,5,s,yes,"For me personally, I just want to make the best impact. But it has always been that way prior to being considered an owner.","When leaders take time to give you the ""insider"" view. Although I feel like we get it after the fact sometimes. Often it's on social media before we see or hear about it form SLT company updates.",,,Beginning and Ending Balance,It's very detailed about the information. Easy to understand.
7,3,6,S,Yes,Feels like I have an impact on the company and that I am part of a bigger team that wants the best for the company,What makes me feel like a owner is the quarterly company update meetings to see how the company is doing as a whole,,,Beginning and Ending Balance to see what was the beginning and end,Ending Balance
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
